Tmax,eta,Delta,kappa_bias,n_t,blocks,gamma0,lambda,emp_tail_rate,theory_2eta
10000,1e-4,0.6821881769209206,6.283185307179586,120000,14659,2.1988067966382836,0.011788231063225867,2.476616096107243e-4,2e-4
10000,5e-4,0.6821881769209206,6.283185307179586,120000,14659,2.1988067966382836,0.011788231063225867,0.0010004081450289304,0.001
10000,0.001,0.6821881769209206,6.283185307179586,120000,14659,2.1988067966382836,0.011788231063225867,0.0020001422801298506,0.002
20000,1e-4,1.3333333333333335,13.20465007004817,120000,15000,1.1249999999999998,0.010195855688774017,2.077543183546527e-4,2e-4
20000,5e-4,1.3333333333333335,13.20465007004817,120000,15000,1.1249999999999998,0.010195855688774017,0.0010000084410780813,0.001
20000,0.001,1.3333333333333335,13.20465007004817,120000,15000,1.1249999999999998,0.010195855688774017,0.0020000165671270474,0.002
50000,1e-4,3.333333333333333,36.06592761470094,120000,15001,0.45000000000000007,0.008542072972012553,2.000637769655917e-4,2e-4
50000,5e-4,3.333333333333333,36.06592761470094,120000,15001,0.45000000000000007,0.008542072972012553,0.0010000080570833703,0.001
50000,0.001,3.333333333333333,36.06592761470094,120000,15001,0.45000000000000007,0.008542072972012553,0.0020000161140337194,0.002
